Pavg,iid,tmstp
507.7247333333333,42,2013-08-31
344.9281666666667,42,2013-08-31
342.02329999999995,42,2013-08-31
354.53874999999994,42,2013-08-31
421.52045,42,2013-08-31
688.4368999999999,42,2013-08-31
952.0598999999999,42,2013-08-31
846.8447333333334,42,2013-08-31
630.9927500000001,42,2013-08-31
574.0626833333334,42,2013-08-31
416.7910166666667,42,2013-09-01
340.5569500000001,42,2013-09-01
331.80740000000003,42,2013-09-01
239.12602333333334,42,2013-09-01
351.89661666666666,42,2013-09-01
306.4078,42,2013-09-01
276.95165000000003,42,2013-09-01
266.2007766666666,42,2013-09-01
289.2563549999999,42,2013-09-01
656.2507333333334,42,2013-09-01
681.3793499999999,42,2013-09-01
1885.8645666666669,42,2013-09-01
538.4029666666668,42,2013-09-01
514.0607457627119,42,2013-09-01
579.6938166666667,42,2013-09-01
541.6668333333333,42,2013-09-01
625.6267500000001,42,2013-09-01
657.4314666666667,42,2013-09-01
514.0123333333333,42,2013-09-01
796.6298333333332,42,2013-09-01
727.8210999999999,42,2013-09-01
719.7891000000001,42,2013-09-01
580.3259166666667,42,2013-09-01
532.8639666666667,42,2013-09-01
470.51245,42,2013-09-02
339.1476166666667,42,2013-09-02
320.3727666666667,42,2013-09-02
318.99326666666667,42,2013-09-02
318.6469833333333,42,2013-09-02
316.8028333333333,42,2013-09-02
373.6748666666667,42,2013-09-02
318.5204333333333,42,2013-09-02
308.6143333333333,42,2013-09-02
514.1481,42,2013-09-02
1100.2924500000001,42,2013-09-02
1342.5050500000002,42,2013-09-02
351.61823666666663,42,2013-09-02
248.63198500000001,42,2013-09-02
230.05732333333333,42,2013-09-02
495.4746333333333,42,2013-09-02
397.6378833333335,42,2013-09-02
448.3878333333333,42,2013-09-02
401.902575,42,2013-09-02
603.2531,42,2013-09-02
881.2910166666666,42,2013-09-02
673.4441166666667,42,2013-09-02
541.55525,42,2013-09-02
536.6040666666667,42,2013-09-02
307.63875,42,2013-09-03
316.11516666666665,42,2013-09-03
318.1126166666667,42,2013-09-03
261.9596333333334,42,2013-09-03
356.0339166666666,42,2013-09-03
355.73366666666664,42,2013-09-03
235.98214833333333,42,2013-09-03
255.91254999999998,42,2013-09-03
303.61440500000003,42,2013-09-03
611.7519833333332,42,2013-09-03
327.45988333333327,42,2013-09-03
249.48181666666667,42,2013-09-03
